	"Overall"		"var"	   "Variables"	"Resample"
"13642"	12.3593177259235	"Nputouts"	6	"Fold054"
"13643"	9.26644480811292	"Nhits"		6	"Fold054"
"13644"	8.59421290461587	"Nwalks"	6	"Fold054"
"13645"	7.44497930997179	"Nhits_career"	6	"Fold054"
"13646"	7.27293917443293	"Nbat_career"	6	"Fold054"
"13647"	7.1814711086263		"Nruns_career"	6	"Fold054"

"13895"	12.6686992816036	"Nputouts"	6	"Fold055"
"13896"	10.5413486134408	"Nwalks"	6	"Fold055"
"13897"	9.29735551544437	"Nbat_career"	6	"Fold055"
"13898"	8.77357182295181	"Nhits"	6	"Fold055"
"13899"	7.93740138042726	"Nhits_career"	6	"Fold055"
"13900"	7.75957758424316	"Nrunsbatted"	6	"Fold055"

"14148"	10.9329592277071	"Nputouts"	6	"Fold056"
"14149"	8.77638144680934	"Nbat_career"	6	"Fold056"
"14150"	8.3073449482421		"Nwalks"	6	"Fold056"
"14151"	8.05958920998077	"Nhits_career"	6	"Fold056"
"14152"	8.05729429662349	"Nhits"		6	"Fold056"
"14153"	7.23313881881578	"Nrunsbatted"	6	"Fold056"

"14401"	9.85363025298077	"Nputouts"	6	"Fold057"
"14402"	9.70054171105907	"Nwalks"	6	"Fold057"
"14403"	8.54633778316031	"Nbat_career"	6	"Fold057"
"14404"	7.64375585701884	"Nhits"		6	"Fold057"
"14405"	7.3098015121905		"Nhits_career"	6	"Fold057"
"14406"	6.90868925536441	"Nrunsbatted"	6	"Fold057"

"14654"	10.6553034393431	"Nputouts"	6	"Fold058"
"14655"	9.55615419430524	"Nhits"		6	"Fold058"
"14656"	8.87922642042242	"Nwalks"	6	"Fold058"
"14657"	8.34897152187569	"Nbat_career"	6	"Fold058"
"14658"	7.46312696447414	"Nhits_career"	6	"Fold058"
"14659"	7.30488998780982	"Nrunsbatted"	6	"Fold058"

"14907"	11.0233510962782	"Nputouts"	6	"Fold059"
"14908"	8.71767559419456	"Nhits"		6	"Fold059"
"14909"	7.8383644620435		"Nwalks"	6	"Fold059"
"14910"	7.35833894323632	"Nhits_career"	6	"Fold059"
"14911"	6.68361241210286	"Nrunsbatted"	6	"Fold059"
"14912"	6.64129354122062	"Nrunsbatted_career"	6	"Fold059"

"15160"	10.0206535800786	"Nputouts"	6	"Fold060"
"15161"	9.95847980505509	"Nhits"		6	"Fold060"
"15162"	8.7568031593088		"Nbat_career"	6	"Fold060"
"15163"	8.46446014548053	"Nwalks"	6	"Fold060"
"15164"	8.01848111201234	"Nruns_career"	6	"Fold060"
"15165"	6.53726293445344	"Nyears_in_the_major_leagues"	6	"Fold060"

"15413"	11.0565148520609	"Nputouts"	6	"Fold061"
"15414"	9.70412233405454	"Nhits"	6	"Fold061"
"15415"	8.823304493903		"Nwalks"	6	"Fold061"
"15416"	7.54873646062361	"Nrunsbatted"	6	"Fold061"
"15417"	7.40265232495318	"Nruns_career"	6	"Fold061"
"15418"	7.12153807396509	"Nhits_career"	6	"Fold061"

"15666"	9.79705717539919	"Nwalks"	6	"Fold062"
"15667"	9.09592184487919	"Nputouts"	6	"Fold062"
"15668"	7.95011457566187	"Nhits"		6	"Fold062"
"15669"	7.74522478943253	"Nhits_career"	6	"Fold062"
"15670"	7.30124848148697	"Nbat_career"	6	"Fold062"
"15671"	7.05894118916125	"Nruns_career"	6	"Fold062"

"15919"	10.0601331622069	"Nputouts"	6	"Fold063"
"15920"	9.69318450954002	"Nwalks"	6	"Fold063"
"15921"	8.01853158932955	"Nbat_career"	6	"Fold063"
"15922"	7.30890659519123	"Nhits"		6	"Fold063"
"15923"	6.48853820564735	"Nhits_career"	6	"Fold063"
"15924"	6.37446903273762	"Nrunsbatted"	6	"Fold063"

"16172"	11.1451354934478	"Nputouts"	6	"Fold064"
"16173"	10.0900080074404	"Nwalks"	6	"Fold064"
"16174"	10.0493052051166	"Nhits"		6	"Fold064"
"16175"	8.52134393040377	"Nhits_career"	6	"Fold064"
"16176"	7.96501242688531	"Nbat_career"	6	"Fold064"
"16177"	7.73032821356189	"Nrunsbatted"	6	"Fold064"

"16425"	9.99719992165692	"Nputouts"	6	"Fold065"
